"","Bacteroides_fragilis__Roseburia_intestinalis_Roseburia_inulinivorans","Clostridium_bartlettii__Bacteroides_thetaiotaomicron_Clostridium_symbiosum","Eubacterium_rectale__Bilophila_wadsworthia","Parabacteroides_merdae__Bacteroides_stercoris_Megasphaera_unclassified","Bacteroides_dorei__Clostridium_asparagiforme_Oscillibacter_unclassified","Bacteroides_ovatus__Lactococcus_lactis","Lachnospiraceae_bacterium_3_1_46FAA__Streptococcus_thermophilus_Eubacterium_hallii","Bifidobacterium_adolescentis__Streptococcus_mutans","Bifidobacterium_animalis__Bacteroides_cellulosilyticus_Clostridium_nexile","Lachnospiraceae_bacterium_5_1_63FAA__Eubacterium_ventriosum_Citrobacter_unclassified","Eubacterium_sp_3_1_31__Roseburia_unclassified_Erysipelotrichaceae_bacterium_5_2_54FAA","Bacteroides_vulgatus__Flavonifractor_plautii","Bacteroides_thetaiotaomicron__Clostridium_symbiosum","Turicibacter_unclassified__Veillonella_unclassified_Haemophilus_parainfluenzae","Pediococcus_unclassified__Pediococcus_acidilactici_Ruminococcus_bromii","Bacteroides_faecis__Alistipes_onderdonkii_Erysipelotrichaceae_bacterium_6_1_45","Bilophila_unclassified__Adlercreutzia_equolifaciens_Subdoligranulum_sp_4_3_54A2FAA","Eubacterium_ramulus__Ruminococcus_obeum_Ruminococcus_torques","Bifidobacterium_pseudocatenulatum__Bifidobacterium_bifidum_Veillonella_parvula","Veillonella_atypica__Sutterella_wadsworthensis","Streptococcus_parasanguinis__Streptococcus_salivarius","Paraprevotella_unclassified__Parabacteroides_unclassified_Enterococcus_faecium","Alistipes_finegoldii__Dorea_longicatena_Lachnospiraceae_bacterium_1_4_56FAA","Erysipelotrichaceae_bacterium_2_2_44A__Prevotella_copri_Anaerostipes_unclassified","Ruminococcus_lactaris__Bacteroides_xylanisolvens_Coprococcus_comes","Bacteroides_eggerthii__Blautia_hansenii","Clostridium_perfringens__Bifidobacterium_longum_Lachnospiraceae_bacterium_2_1_58FAA","Streptococcus_thermophilus__Eubacterium_hallii","Anaerotruncus_colihominis__Ruminococcaceae_bacterium_D16","Bacteroides_massiliensis__Lactobacillus_rhamnosus","Enterococcus_faecalis__Bacteroides_caccae_Blautia_producta","Roseburia_intestinalis__Roseburia_inulinivorans","Parabacteroides_distasonis__Dorea_unclassified","Bacteroides_cellulosilyticus__Clostridium_nexile","Eggerthella_lenta__Anaerostipes_hadrus","Bacteroides_finegoldii__Dorea_formicigenerans_Dialister_invisus","Holdemania_filiformis__Bacteroides_uniformis_Clostridium_hathewayi","Bacteroides_stercoris__Megasphaera_unclassified","Pediococcus_acidilactici__Ruminococcus_bromii","Gordonibacter_pamelaeae__Lachnospiraceae_bacterium_5_1_57FAA_Subdoligranulum_unclassified","Alistipes_indistinctus__Collinsella_aerofaciens_Acidaminococcus_unclassified","Streptococcus_australis__Lactobacillus_fermentum_Coprococcus_catus","Lactobacillus_gasseri__Oscillibacter_sp_KLE_1745","Alistipes_shahii__Parasutterella_excrementihominis","Clostridium_scindens__Bifidobacterium_dentium_Escherichia_coli","Anaerostipes_caccae__Roseburia_hominis","Clostridium_asparagiforme__Oscillibacter_unclassified","Alistipes_onderdonkii__Erysipelotrichaceae_bacterium_6_1_45","Roseburia_unclassified__Erysipelotrichaceae_bacterium_5_2_54FAA","Parabacteroides_unclassified__Enterococcus_faecium","Bifidobacterium_bifidum__Veillonella_parvula","Veillonella_unclassified__Haemophilus_parainfluenzae","Eubacterium_biforme__Klebsiella_unclassified","Erysipelotrichaceae_bacterium_3_1_53__Peptostreptococcaceae_noname_unclassified_Clostridium_ramosum","Prevotella_copri__Anaerostipes_unclassified","Bifidobacterium_catenulatum__Methanobrevibacter_smithii_Fusobacterium_nucleatum","Dorea_longicatena__Lachnospiraceae_bacterium_1_4_56FAA","Bifidobacterium_longum__Lachnospiraceae_bacterium_2_1_58FAA","Eubacterium_ventriosum__Citrobacter_unclassified","Ruminococcus_obeum__Ruminococcus_torques","Bacteroides_caccae__Blautia_producta","Lachnospiraceae_bacterium_7_1_58FAA__Alistipes_putredinis_Clostridium_bolteae","Veillonella_dispar__Barnesiella_intestinihominis_Escherichia_unclassified","Bacteroides_uniformis__Clostridium_hathewayi","Adlercreutzia_equolifaciens__Subdoligranulum_sp_4_3_54A2FAA","Odoribacter_splanchnicus__Clostridiaceae_bacterium_JC118","Lachnospiraceae_bacterium_9_1_43BFAA__Ruminococcus_callidus","Paraprevotella_clara__Bacteroidales_bacterium_ph8_Coprobacillus_unclassified","Bacteroides_xylanisolvens__Coprococcus_comes","Dorea_formicigenerans__Dialister_invisus","Lachnospiraceae_bacterium_5_1_57FAA__Subdoligranulum_unclassified","Lactobacillus_fermentum__Coprococcus_catus","Collinsella_aerofaciens__Acidaminococcus_unclassified","Bifidobacterium_dentium__Escherichia_coli","Clostridiales_bacterium_1_7_47FAA__Lachnospiraceae_bacterium_8_1_57FAA","Streptococcus_sanguinis__Clostridium_clostridioforme_Eubacterium_eligens","Peptostreptococcaceae_noname_unclassified__Clostridium_ramosum","Anaerotruncus_unclassified__Leuconostoc_citreum_Eubacterium_siraeum","Barnesiella_intestinihominis__Escherichia_unclassified","Holdemania_unclassified__Ruminococcus_gnavus_Faecalibacterium_prausnitzii","Methanobrevibacter_smithii__Fusobacterium_nucleatum","Alistipes_putredinis__Clostridium_bolteae","Bacteroidales_bacterium_ph8__Coprobacillus_unclassified","Ruminococcus_gnavus__Faecalibacterium_prausnitzii","Clostridium_clostridioforme__Eubacterium_eligens","Leuconostoc_citreum__Eubacterium_siraeum"
"Methanobrevibacter_smithii",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"Rothia_mucilaginosa",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bifidobacterium_adolescentis",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bifidobacterium_animalis",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bifidobacterium_bifidum",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bifidobacterium_breve",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bifidobacterium_catenulatum",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bifidobacterium_dentium",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"Bifidobacterium_longum",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bifidobacterium_pseudocatenulatum",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Adlercreutzia_equolifaciens",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Collinsella_aerofaciens",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Eggerthella_lenta",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Eggerthella_unclassified",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gordonibacter_pamelaeae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bacteroides_caccae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bacteroides_cellulosilyticus",0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bacteroides_dorei",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bacteroides_eggerthii",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bacteroides_faecis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bacteroides_finegoldii",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bacteroides_fragilis",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bacteroides_massiliensis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bacteroides_ovatus",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bacteroides_stercoris",0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bacteroides_thetaiotaomicron",0,-1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bacteroides_uniformis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bacteroides_vulgatus",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bacteroides_xylanisolvens",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bacteroidales_bacterium_ph8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"Barnesiella_intestinihominis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"Odoribacter_splanchnicus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Parabacteroides_distasonis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Parabacteroides_merdae",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Parabacteroides_unclassified",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
